ENSMUSG00000000942.10	Hoxa4
ENSMUSG00000000948.13	Gm38393
ENSMUSG00000000957.9	Mmp14
ENSMUSG00000000958.6	Slc7a7
ENSMUSG00000000959.6	Oxa1l
ENSMUSG00000000976.10	Heatr6
ENSMUSG00000000982.5	Ccl3
ENSMUSG00000000983.10	Wfdc18
ENSMUSG00000001014.5	Icam4
ENSMUSG00000001016.9	Ilf2
ENSMUSG00000001017.12	Chtop
ENSMUSG00000001018.12	Snapin
ENSMUSG00000001020.8	S100a4
ENSMUSG00000001021.9	S100a3
ENSMUSG00000001023.7	S100a5
ENSMUSG00000001025.5	S100a6
ENSMUSG00000001027.7	Scn4a
ENSMUSG00000001029.12	Icam2
ENSMUSG00000001034.14	Mapk7
ENSMUSG00000001036.14	Epn2
ENSMUSG00000001039.9	B9d1
ENSMUSG00000001052.12	Sec24b
ENSMUSG00000001053.12	N4bp3
ENSMUSG00000001054.6	Rmnd5b
ENSMUSG00000001056.3	Nhp2
ENSMUSG00000001062.14	Vps9d1
ENSMUSG00000001065.11	Zfp276
ENSMUSG00000001076.6	C1ql4
ENSMUSG00000001082.9	Mfsd10
ENSMUSG00000001089.11	Luzp1
ENSMUSG00000001095.5	Slc13a2
ENSMUSG00000001098.12	Kctd10
ENSMUSG00000001100.7	Poldip2
ENSMUSG00000001103.7	Sebox
ENSMUSG00000001105.12	Ift20
ENSMUSG00000001119.7	Col6a1
ENSMUSG00000001120.12	Pcbp3
ENSMUSG00000001123.12	Lgals9
ENSMUSG00000001127.9	Araf
ENSMUSG00000001128.7	Cfp
ENSMUSG00000001131.8	Timp1
ENSMUSG00000001134.6	Uxt
ENSMUSG00000001138.10	Cnnm3
ENSMUSG00000001143.10	Lman2l
ENSMUSG00000001150.6	Mcm3ap
ENSMUSG00000001151.9	Pcnt
ENSMUSG00000001155.10	Ftcd
ENSMUSG00000001156.7	Mxd1
ENSMUSG00000001157.10	Gmcl1
ENSMUSG00000001158.10	Snrnp27
ENSMUSG00000001166.14	Oas1c
ENSMUSG00000001168.13	Oas1h
ENSMUSG00000001173.12	Ocrl
ENSMUSG00000001175.10	Calm1
ENSMUSG00000001211.11	Agpat3
ENSMUSG00000001225.9	Slc26a3
ENSMUSG00000001227.8	Sema6b
ENSMUSG00000001228.11	Uhrf1
ENSMUSG00000001229.7	Dpp9
ENSMUSG00000001240.10	Ramp2
ENSMUSG00000001247.13	Lsr
ENSMUSG00000001248.11	Gramd1a
ENSMUSG00000001249.11	Hpn
ENSMUSG00000001260.7	Gabrg1
ENSMUSG00000001270.8	Ckb
ENSMUSG00000001280.9	Sp1
ENSMUSG00000001281.6	Itgb7
ENSMUSG00000001285.9	Myg1
ENSMUSG00000001288.11	Rarg
ENSMUSG00000001289.9	Pfdn5
ENSMUSG00000001300.12	Efnb2
ENSMUSG00000001305.5	Rrp15
ENSMUSG00000001313.9	Rnd2
ENSMUSG00000001323.14	Srr
ENSMUSG00000001333.9	Sync
ENSMUSG00000001334.9	Fndc5
ENSMUSG00000001348.11	Acp5
ENSMUSG00000001349.4	Cnn1
ENSMUSG00000001366.11	Fbxo9
ENSMUSG00000001376.14	Ccdc132
ENSMUSG00000001380.6	Hars
ENSMUSG00000001383.8	Zmat2
ENSMUSG00000001403.10	Ube2c
ENSMUSG00000001415.7	Smg5
ENSMUSG00000001416.10	Cct3
ENSMUSG00000001418.10	Glmp
ENSMUSG00000001419.14	Mef2d
ENSMUSG00000001420.10	Tmem79
ENSMUSG00000001424.11	Snd1
ENSMUSG00000001435.11	Col18a1
ENSMUSG00000001436.12	Slc19a1
ENSMUSG00000001440.5	Kpnb1
ENSMUSG00000001441.10	Npepps
ENSMUSG00000001444.2	Tbx21
ENSMUSG00000001445.7	Mrpl10
ENSMUSG00000001467.5	Cyp51
ENSMUSG00000001472.13	Tcf25
